,Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
120,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1961,1961,tonnes,15100.0,*,Unofficial figure
121,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1962,1962,tonnes,15100.0,F,FAO estimate
122,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1963,1963,tonnes,15100.0,F,FAO estimate
123,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1964,1964,tonnes,18400.0,F,FAO estimate
124,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1965,1965,tonnes,20400.0,F,FAO estimate
125,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1966,1966,tonnes,22800.0,F,FAO estimate
126,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1967,1967,tonnes,27600.0,F,FAO estimate
127,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1968,1968,tonnes,27900.0,F,FAO estimate
128,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1969,1969,tonnes,28200.0,F,FAO estimate
129,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1970,1970,tonnes,27300.0,F,FAO estimate
130,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1971,1971,tonnes,21500.0,F,FAO estimate
131,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1972,1972,tonnes,26600.0,F,FAO estimate
132,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1973,1973,tonnes,27600.0,F,FAO estimate
133,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1974,1974,tonnes,27800.0,F,FAO estimate
134,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1975,1975,tonnes,27900.0,F,FAO estimate
135,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1976,1976,tonnes,26200.0,F,FAO estimate
136,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1977,1977,tonnes,15500.0,F,FAO estimate
137,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1978,1978,tonnes,22700.0,F,FAO estimate
138,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1979,1979,tonnes,21600.0,F,FAO estimate
139,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1980,1980,tonnes,22300.0,F,FAO estimate
140,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1981,1981,tonnes,22100.0,F,FAO estimate
141,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1982,1982,tonnes,21400.0,F,FAO estimate
142,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1983,1983,tonnes,20800.0,F,FAO estimate
143,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1984,1984,tonnes,20000.0,F,FAO estimate
144,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1985,1985,tonnes,19100.0,F,FAO estimate
145,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1986,1986,tonnes,19400.0,F,FAO estimate
146,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1987,1987,tonnes,16600.0,F,FAO estimate
147,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1988,1988,tonnes,16900.0,F,FAO estimate
148,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1989,1989,tonnes,16900.0,F,FAO estimate
149,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1990,1990,tonnes,16867.0,Im,FAO data based on imputation methodology
150,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1991,1991,tonnes,17507.0,Im,FAO data based on imputation methodology
151,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1992,1992,tonnes,17200.0,F,FAO estimate
152,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1993,1993,tonnes,17000.0,F,FAO estimate
153,QCL,Crops and livestock products,2,Afghanistan,5510,Production,515,Apples,1994,1994,tonnes,17500.0,F,FAO estimate
