,Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
300,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1961,1961,tonnes,2000.0,F,FAO estimate
301,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1962,1962,tonnes,2000.0,F,FAO estimate
302,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1963,1963,tonnes,2000.0,F,FAO estimate
303,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1964,1964,tonnes,2400.0,F,FAO estimate
304,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1965,1965,tonnes,2700.0,F,FAO estimate
305,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1966,1966,tonnes,3000.0,F,FAO estimate
306,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1967,1967,tonnes,3700.0,F,FAO estimate
307,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1968,1968,tonnes,3700.0,F,FAO estimate
308,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1969,1969,tonnes,3700.0,F,FAO estimate
309,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1970,1970,tonnes,3600.0,F,FAO estimate
310,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1971,1971,tonnes,2900.0,F,FAO estimate
311,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1972,1972,tonnes,3500.0,F,FAO estimate
312,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1973,1973,tonnes,3700.0,F,FAO estimate
313,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1974,1974,tonnes,3700.0,F,FAO estimate
314,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1975,1975,tonnes,3700.0,F,FAO estimate
315,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1976,1976,tonnes,3500.0,F,FAO estimate
316,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1977,1977,tonnes,2100.0,F,FAO estimate
317,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1978,1978,tonnes,3000.0,F,FAO estimate
318,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1979,1979,tonnes,2900.0,F,FAO estimate
319,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1980,1980,tonnes,3000.0,F,FAO estimate
320,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1981,1981,tonnes,2900.0,F,FAO estimate
321,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1982,1982,tonnes,2800.0,F,FAO estimate
322,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1983,1983,tonnes,2800.0,F,FAO estimate
323,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1984,1984,tonnes,2700.0,F,FAO estimate
324,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1985,1985,tonnes,2500.0,F,FAO estimate
325,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1986,1986,tonnes,2600.0,F,FAO estimate
326,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1987,1987,tonnes,2200.0,F,FAO estimate
327,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1988,1988,tonnes,2200.0,F,FAO estimate
328,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1989,1989,tonnes,2300.0,F,FAO estimate
329,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1990,1990,tonnes,2296.0,Im,FAO data based on imputation methodology
330,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1991,1991,tonnes,2282.0,Im,FAO data based on imputation methodology
331,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1992,1992,tonnes,2331.0,Im,FAO data based on imputation methodology
332,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1993,1993,tonnes,2391.0,Im,FAO data based on imputation methodology
333,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1994,1994,tonnes,2469.0,Im,FAO data based on imputation methodology
334,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1995,1995,tonnes,2546.0,Im,FAO data based on imputation methodology
335,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1996,1996,tonnes,2623.0,Im,FAO data based on imputation methodology
336,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1997,1997,tonnes,2700.0,Im,FAO data based on imputation methodology
337,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1998,1998,tonnes,2778.0,Im,FAO data based on imputation methodology
338,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,1999,1999,tonnes,2855.0,Im,FAO data based on imputation methodology
339,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,2000,2000,tonnes,2932.0,Im,FAO data based on imputation methodology
340,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,2001,2001,tonnes,2923.0,Im,FAO data based on imputation methodology
341,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,2002,2002,tonnes,3857.0,Im,FAO data based on imputation methodology
342,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,2003,2003,tonnes,4384.0,Im,FAO data based on imputation methodology
343,QCL,Crops and livestock products,2,Afghanistan,5510,Production,521,Pears,2004,2004,tonnes,2617.0,Im,FAO data based on imputation methodology
